Fecha;Sesión;Invitado;Acompañante;Postura;Persona;Clasificación;Tiempo de exposición;Tiempo de preguntas y respuestas;Intervalo de tiempo de exposición;Intervalo de preguntas y respuestas;;;;;;;;;;;;;;;;
06.10.2020;7 sesión extraordinaria;Eduardo Salhuana Cavides, ;Si;en contra;Asesor legal de FEDEMIN  (Federación Minera de Madre de Dios);Representación de un sector de la economía;2;;03:16:02-3:18:46;;;;;;;;;;;;;;;;;
06.10.2020;7 sesión extraordinaria;Evelardo Antun Yampintza ;Si;en contra;Empresa Comunal Shatesaek;Empresa comunal;2;;3:19:17-3:21:35;;;;;;;;;;;;;;;;;
9.10.2020;8 sesión extraordinaria;Lucía Ruiz Ostoic;No;a favor;Ex Ministra del Ambiente ;Exministro/a;23;57;3:15-26:54;27:17-1:24:52;;;;;;;;;;;;;;;;
9.10.2020;8 sesión extraordinaria;Erik Fischer Llanos;No;en contra;Presidente de la Asociación de Exportadores – ADEX ;Representación de un sector de la economía;46;10;1:25:37-2:11:19;2:11:50-2:21:50;;;;;;;;;;;;;;;;
9.10.2020;8 sesión extraordinaria;Kiara Ordóñez Olazábal ;No;a favor;Vocera de la Plataforma Joven Escazú Ahora ;Organización vocera de la juventud;28;26;02:24:56-02:52:44;2:52:53-3:18:20;;;;;;;;;;;;;;;;
9.10.2020;8 sesión extraordinaria;Cayetana Aljovín Gazzani ;No;en contra;Presidenta de la Sociedad Nacional de Pesquería;Representación de un sector de la economía;15;24;3:21:35-3:36:24;3:37:07-3:51:09;;;;;;;;;;;;;;;;
12.10.2020;17 sesión ordinaria;Iván Lanegra Quispe ;No;a favor;Secretario General de la Asociación Civil Transparencia ;Organización no gubernamental;18;41;30:25-48:19;48:49-1:29:58;;;;;;;;;;;;;;;;
12.10.2020;17 sesión ordinaria;María Isabel León Klenke ;No;en contra;Presidenta de la Conferencia Nacional de Instituciones Empresariales Privadas - CONFIEP ;Representación de un sector de la economía;6;;1:31:09-1:37:32;;;;;;;;;;;;;;;;;
12.10.2020;17 sesión ordinaria;Hernán Cuba Chávez ;Si;en contra;Abogado de la CONFIEP;Especialista en derecho, ciencia política y/o relaciones internacionales;20;18;1:37:49-1:57:03;1:59:43-2:17:31;;;;;;;;;;;;;;;;
12.10.2020;17 sesión ordinaria;Héctor Soto García ;No;en contra;Alcalde de Contamana y presidente de la Asociación de Municipalidades de la Región Loreto – AMRELOR ;Alcalde distrital;17;8;02:20:33-2:27:17;2:27:40-2:35:56;;;;;;;;;;;;;;;;
13.10.2020;9 sesión extraordinaria;Elsa Galarza Contreras ;No;a favor;Ex Ministra del Ambiente ;Exministro/a;26;34;4:41-30:34;31:33-1:05:42;;;;;;;;;;;;;;;;
13.10.2020;9 sesión extraordinaria;Luis Hidalgo Okimura;No;en contra;Gobernador Regional de Madre de Dios, en representación de la Macro Región Amazónica ;Gobernador regional;30;19;1:06:27-1:36:05;1:36:10-1:49:12;;;;;;;;;;;;;;;;
13.10.2020;9 sesión extraordinaria;Rosario del Pilar Díaz Garavito;No;a favor;Directora Ejecutiva de The Millennials Movement;Organización no gubernamental;42;12;01:49:57-2:32:17;2:32:35-2:44:50;;;;;;;;;;;;;;;;
13.10.2020;9 sesión extraordinaria;Almirante® José Cueto Aservi;No;en contra;Almirante retirado y político peruano;Militar retirado;23;42;2:45:45-3:18:53;3:19:00-4:01:30;;;;;;;;;;;;;;;;
13.10.2020;9 sesión extraordinaria;General PNP® César Augusto Gentile Vargas ;No;a favor;Ministro Del Interior ;Ministro/a;4;29;4:02:22-4:06:59;4:07:40-4:36:22;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
